Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
vs Córdoba,25,25.1,42.4,7,77,630,7.0,11,9,20,11,0,1,14,0,1.57,1.29,2.86,1.57,2.86,vs Córdoba,2,7,7,630,7.0,8,1.14,27,21,77.8,3,3,1,1,14.3,2,2,0,0,0.0,vs Córdoba,2,7.0,8,2,,,,,,,,,,,,,,,,,,,,,,,,vs Córdoba,25,7.0,11,73,36,49.3,10.43,5.14,0.15,0.31,,0,1,vs Córdoba,25,7.0,,,,,,,,,,,,,,,9,,,,,,vs Córdoba,25,7.0,,,,,,,69,,,,,,,,,vs Córdoba,25,7.0,,,,,,,,,,,,,,,,,vs Córdoba,25,7.0,,93,,,,,,,,,,,72,,,,vs Córdoba,25,42.4,7.0,,,,,,,,,,,,,,,,,,,,,vs Córdoba,25,25.1,7,630,90,100,7.0,77,79,42,35,22,47,1.71,12,8,4,0.57,vs Córdoba,25,7.0,14,0,0,117,102,28,69,72,93,,,1
vs Zaragoza,26,26.0,50.1,7,77,630,7.0,7,7,14,7,0,0,23,0,1.0,1.0,2.0,1.0,2.0,vs Zaragoza,2,7,7,630,7.0,4,0.57,22,18,81.8,3,3,1,3,42.9,0,0,0,0,,vs Zaragoza,2,7.0,4,0,,,,,,,,,,,,,,,,,,,,,,,,vs Zaragoza,26,7.0,7,71,27,38.0,10.14,3.86,0.1,0.26,,0,0,vs Zaragoza,26,7.0,,,,,,,,,,,,,,,7,,,,,,vs Zaragoza,26,7.0,,,,,,,129,,,,,,,,,vs Zaragoza,26,7.0,,,,,,,,,,,,,,,,,vs Zaragoza,26,7.0,,60,,,,,,,,,,,66,,,,vs Zaragoza,26,50.1,7.0,,,,,,,,,,,,,,,,,,,,,vs Zaragoza,26,26.0,7,630,90,100,7.0,77,80,42,35,20,44,1.71,7,4,3,0.43,vs Zaragoza,26,7.0,23,0,0,129,91,13,129,66,60,,,0
