Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Córdoba,25,27.0,57.6,7,77,630,7.0,7,4,11,5,2,2,21,1,1.0,0.57,1.57,0.71,1.29,Córdoba,2,7,7,630,7.0,12,1.71,34,23,64.7,1,3,3,1,14.3,1,0,1,0,100.0,Córdoba,2,7.0,12,0,,,,,,,,,,,,,,,,,,,,,,,,Córdoba,25,7.0,7,99,29,29.3,14.14,4.14,0.05,0.17,,2,2,Córdoba,25,7.0,,,,,,,,,,,,,,,4,,,,,,Córdoba,25,7.0,,,,,,,131,,,,,,,,,Córdoba,25,7.0,,,,,,,,,,,,,,,,,Córdoba,25,7.0,,88,,,,,,,,,,,60,,,,Córdoba,25,57.6,7.0,,,,,,,,,,,,,,,,,,,,,Córdoba,25,27.0,7,630,90,100,7.0,77,79,43,33,25,44,0.86,8,12,-4,-0.57,Córdoba,25,7.0,21,1,1,108,110,22,131,60,88,,,1
Zaragoza,26,27.2,49.9,7,77,630,7.0,4,1,5,4,0,0,17,1,0.57,0.14,0.71,0.57,0.71,Zaragoza,2,7,7,630,7.0,7,1.0,27,20,74.1,1,3,3,2,28.6,0,0,0,0,,Zaragoza,2,7.0,7,0,,,,,,,,,,,,,,,,,,,,,,,,Zaragoza,26,7.0,4,82,21,25.6,11.71,3.0,0.05,0.19,,0,0,Zaragoza,26,7.0,,,,,,,,,,,,,,,1,,,,,,Zaragoza,26,7.0,,,,,,,112,,,,,,,,,Zaragoza,26,7.0,,,,,,,,,,,,,,,,,Zaragoza,26,7.0,,78,,,,,,,,,,,49,,,,Zaragoza,26,49.9,7.0,,,,,,,,,,,,,,,,,,,,,Zaragoza,26,27.2,7,630,90,100,7.0,77,80,44,32,22,43,0.86,4,7,-3,-0.43,Zaragoza,26,7.0,17,1,0,93,118,13,112,49,78,,,0
